class,DS,DU
5,1619.16,87
7,9785.73,60
7,2822.39,14
3,571.28,9
0,1422.38,21
3,280.67,6
1,638.48,4
3,12026.31,70
5,3649.49,21
4,1857.19,18
7,2158.22,15
5,2491.65,16
0,3103.07,23
1,1466.27,84
5,3775.27,22
7,968.05,6
5,3153.26,16
5,2444.56,30
4,561.34,5
4,2442.54,22
3,788.79,6
0,683.33,6
3,522.32,8
5,11501.69,56
4,1560.16,17
7,1819.64,14
7,1650.84,8
3,682.19,7
3,1359.76,6
0,14161.77,41
3,1938.75,37
3,1532.95,9
0,1311.79,7
5,5404.83,55
4,1141.73,14
5,1863.14,29
3,3742.95,31
7,1935.06,12
7,280.79,18
3,1291,7
5,2375.96,27
3,7082.07,51
2,619.46,20
5,638.2,12
2,3121.63,25
7,391.88,3
