路段编码,路名,区属,类型,段起点,段止点,等级,长度,路段面积,人行道面积
HPS000009970,贵州路,黄浦,路段,宁波路,天津路,支路,80,710,213
HPS000009971,贵州路,黄浦,路段,天津路,南京,支路,86,674,198
HPS000009972,贵州路,黄浦,路段,南京,九江路,支路,111,765.6,388.6
HPS000011314,国货路,黄浦,路段,普育西路,南车站路,次干路,225,7292.8,1914.8
HPS000011307,国货路,黄浦,路段,普育东路,普育西路,次干路,209,6266.1,2085.1
HPS000011309,国货路,黄浦,路段,海潮路,普育东路,次干路,182,6291.4,1822.4
HPS000011312,国货路,黄浦,路段,中山南路,海潮路,次干路,161,2613.2,725.2
HPS000011342,果育堂街,黄浦,路段,北张家弄,南石皮弄,支路,155,618.9,0
HPS000011343,果育堂街,黄浦,路段,薛弄底街,北张家弄,支路,24.5,302.9,40
HPS000011339,海潮路,黄浦,路段,顾家町弄,国货路,支路,187,2932.2,1180.7
HPS000011340,海潮路,黄浦,路段,陆家浜路,顾家町弄,支路,158,2517.5,958.1
HPS000011326,海潮路,黄浦,路段,国货路,中山南路,支路,175,2700,960
HPS000009973,海口路,黄浦,路段,湖北路,浙江,支路,125,1086.1,271.6
HPS000009974,汉口路,黄浦,路段,中山东一路,四川中路,支路,187,1638,468
HPS000009975,汉口路,黄浦,路段,四川中路,江西中路,支路,148,1192.5,336
HPS000009977,汉口路,黄浦,路段,河南中路,山东中路,支路,111,730,234
HPS000009979,汉口路,黄浦,路段,山西南路,福建中路,支路,200,2226.6,802.6
HPS000009981,汉口路,黄浦,路段,福建中路,湖北路,支路,86,1251.9,824.9
HPS000009983,汉口路,黄浦,路段,湖北路,浙江中路,支路,130,1275.2,591.2
HPS000009985,汉口路,黄浦,路段,浙江中路,广西北路,支路,136,1136.2,404.2
HPS000009989,汉口路,黄浦,路段,江西中路,河南中路,支路,150,1895.4,797.4
HPS000009945,汉口路,黄浦,路段,山东中路,山西南路,支路,120,783.7,373.7
HPS000010060,汉口路,黄浦,路段,云南中路,西藏中路,支路,128,1056.6,354.6
HPS000010130,汉口路,黄浦,路段,广西北路,云南中路,支路,82,644.6,236.6
LWS000008111,合肥路,黄浦,路段,马当路,淡水路,支路,165,2087,996
LWS000009524,合肥路,黄浦,路段,顺昌路,黄陂南路,支路,190,2304,960
LWS000008088,合肥路,黄浦,路段,黄陂南路,马当路,支路,162,2114,1098
LWS000008083,合肥路,黄浦,路段,肇周路,顺昌路,支路,192,2307,957
LWS000008081,合肥路,黄浦,路段,淡水路,重庆南路,支路,295,3606,1654
LWS000009621,合肥路223弄,黄浦,路段,0,1,支路,105,525,80
HPS000011333,和顺街,黄浦,路段,抚安街,大夫坊,支路,77.6,476.9,239.9
HPS000011334,和顺街,黄浦,路段,巡道街,抚安街,支路,35,156.2,43.6
HPS000010343,河南南路,黄浦,路段,金陵东路,人民路,次干路,130,3454,1166
HPS000010344,河南南路,黄浦,路段,延安东路,金陵东路,次干路,95,1545.6,380.8
HPS000011249,河南南路,黄浦,路段,大境路,方浜中路,次干路,169,2501.1,588.4
HPS000011262,河南南路,黄浦,路段,文庙路,净土街,次干路,39,489.1,177.1
HPS000011129,河南南路,黄浦,路段,江阴街,陆家浜路,次干路,197.5,5221.3,2030
HPS000011130,河南南路,黄浦,路段,中华路,江阴街,次干路,82,1303.8,495.6
HPS000011198,河南南路,黄浦,路段,西仓桥街,文庙路,次干路,139.5,2104.6,514.6
HPS000011105,河南南路,黄浦,路段,复兴东路,西仓桥街,次干路,147,1833.5,546.5
HPS000011107,河南南路,黄浦,路段,昼锦路,复兴东路,次干路,213.5,4197.6,2076.6
HPS000011109,河南南路,黄浦,路段,方浜中路,昼锦路,次干路,114,1267.6,421.6
HPS000011092,河南南路,黄浦,路段,吾园街,尚文路,次干路,127.5,2325.7,945.7
HPS000011094,河南南路,黄浦,路段,先棉祠南弄,吾园街,次干路,51,864.7,306.7
HPS000011096,河南南路,黄浦,路段,先棉祠北弄,先棉祠南弄,次干路,55,896.4,314.4
HPS000011098,河南南路,黄浦,路段,蓬莱路,先棉祠北弄,次干路,55,797.7,323.7
HPS000011099,河南南路,黄浦,路段,尚文路,中华路,次干路,89,1291.6,445.6
HPS000011100,河南南路,黄浦,路段,净土街,蓬莱路,次干路,85,1097.1,272.1
HPS000011328,河南南路,黄浦,路段,福佑路,大境路,次干路,230,3796,1168
HPS000011330,河南南路,黄浦,路段,晏海弄,福佑路,次干路,100,1385.4,353.4
HPS000011331,河南南路,黄浦,路段,人民路,晏海弄,次干路,41,330.8,72
HPS000020013,河南中路,黄浦,路段,广东路,延安东路,次干路,212,3924.7,1123.6
HPS000010347,河南中路,黄浦,路段,南京东路,九江路,次干路,106,2098.9,739.7
HPS000010329,河南中路,黄浦,路段,泗泾路,广东路,次干路,57,781.9,337.8
HPS000010330,河南中路,黄浦,路段,福州路,泗泾路,次干路,157,2410.2,836
HPS000010332,河南中路,黄浦,路段,汉口路,福州路,次干路,139,3080.7,1164.4
HPS000010334,河南中路,黄浦,路段,九江路,汉口路,次干路,86,1606.4,691.7
HPS000010326,河南中路,黄浦,路段,天津路,南京东路,次干路,125,2052,849.5
HPS000010339,河南中路,黄浦,路段,宁波路,天津路,次干路,71,1092.7,448.8
HPS000010340,河南中路,黄浦,路段,北京东路,宁波路,次干路,142,2815.6,749.1
HPS000010342,河南中路,黄浦,路段,南苏州路,北京东路,次干路,140,1799.6,655.2
HPS000011124,红栏杆街,黄浦,路段,红庄弄,金家坊,支路,63.5,317,14
HPS000011126,红栏杆街,黄浦,路段,松雪街,红庄弄,支路,71,430,113.7
HPS000011111,红庄弄,黄浦,路段,红栏杆街,本弄底,支路,74.5,284,0
HPS000011121,虹桥弄,黄浦,路段,复兴东路(东),艾家弄,支路,56,233.7,9.3
HPS000011131,虹桥弄,黄浦,路段,艾家弄,复兴东路(西),支路,68,316.8,78.5
