ID,BID,UID,ST,SX,SY,ET,EX,EY,EC,DU,DS
2808,92249,10997,2020/8/11 17:40,121.454,31.228,2020/8/11 18:14,121.449,31.215,6,34,1518.047327
2809,193610,4285,2020/8/11 17:41,121.438,31.227,2020/8/11 18:01,121.461,31.245,5,20,2963.804522
2810,193724,8189,2020/8/11 17:43,121.349,31.258,2020/8/11 18:06,121.32,31.257,2,23,2764.377765
2811,10431,3487,2020/8/11 17:44,121.488,31.202,2020/8/11 17:48,121.483,31.2,5,4,525.584872
2812,137461,7249,2020/8/11 17:45,121.36,31.106,2020/8/11 18:50,121.402,31.132,4,65,4935.511766
2813,193443,11263,2020/8/11 17:47,121.475,31.222,2020/8/11 18:51,121.409,31.208,0,64,6477.817074
2814,26183,5348,2020/8/11 17:48,121.384,31.175,2020/8/11 17:54,121.385,31.167,7,6,892.087817
2815,125405,9523,2020/8/11 17:50,121.512,31.301,2020/8/11 18:11,121.484,31.309,2,21,2809.275771
2816,12383,10454,2020/8/11 17:52,121.446,31.246,2020/8/11 18:26,121.456,31.212,5,34,3888.231582
2817,54554,8021,2020/8/11 17:54,121.416,31.208,2020/8/11 18:32,121.431,31.23,4,38,2827.117137
2818,102858,9484,2020/8/11 17:56,121.378,31.264,2020/8/11 18:16,121.393,31.247,2,20,2365.153469
2819,33480,4275,2020/8/11 17:58,121.507,31.328,2020/8/11 18:26,121.526,31.331,5,28,1838.649173
2820,110485,7712,2020/8/11 18:00,121.532,31.32,2020/8/11 18:10,121.535,31.328,7,10,931.82751
2821,48485,8304,2020/8/11 18:02,121.418,31.18,2020/8/11 18:25,121.384,31.166,0,23,3593.770591
2822,25606,7609,2020/8/11 18:03,121.417,31.215,2020/8/11 18:22,121.415,31.2,3,19,1673.981122
2823,111115,5168,2020/8/11 18:04,121.383,31.166,2020/8/11 18:15,121.38,31.157,4,11,1038.035396
2824,117612,8300,2020/8/11 18:06,121.329,31.149,2020/8/11 18:23,121.314,31.15,1,17,1434.614848
2825,77502,10189,2020/8/11 18:08,121.467,31.206,2020/8/11 18:23,121.471,31.218,0,15,1384.001481
2826,35273,5543,2020/8/11 18:08,121.513,31.303,2020/8/11 18:24,121.49,31.311,0,16,2362.372645
2827,89777,10689,2020/8/11 18:10,121.513,31.14,2020/8/11 18:20,121.52,31.133,5,10,1023.715129
2828,69801,9915,2020/8/11 18:11,121.538,31.319,2020/8/11 18:26,121.532,31.316,0,15,660.920035
2829,18311,239,2020/8/11 18:12,121.4,31.142,2020/8/11 18:21,121.396,31.154,3,9,1384.059408
2830,145521,7117,2020/8/11 18:12,121.435,31.17,2020/8/11 18:28,121.428,31.184,5,16,1689.571038
2831,193652,8881,2020/8/11 18:14,121.475,31.216,2020/8/11 18:23,121.477,31.225,0,9,1015.893353
2832,181356,7444,2020/8/11 18:14,121.393,31.091,2020/8/11 18:34,121.38,31.103,5,20,1818.912627
2833,103595,921,2020/8/11 18:15,121.531,31.313,2020/8/11 18:23,121.524,31.314,5,8,675.494323
2834,194117,5697,2020/8/11 18:16,121.325,31.254,2020/8/11 18:26,121.326,31.256,5,10,241.33888
2835,172202,402,2020/8/11 18:17,121.49,31.331,2020/8/11 18:26,121.481,31.332,0,9,863.696818
2836,150168,7399,2020/8/11 18:19,121.469,31.257,2020/8/11 18:29,121.468,31.248,7,10,1002.40017
2837,126230,6738,2020/8/11 18:21,121.51,31.304,2020/8/11 18:33,121.508,31.297,0,12,799.137623
