ID,SX,SY,class,sort
923,121.459,31.264,5,0
924,121.547,31.264,7,0
925,121.512,31.302,4,0
926,121.509,31.303,5,0
927,121.473,31.283,4,0
928,121.513,31.14,5,0
929,121.468,31.258,1,0
930,121.446,31.289,3,0
931,121.369,31.266,7,0
932,121.522,31.325,2,0
933,121.482,31.202,0,0
934,121.406,31.205,1,0
935,121.545,31.275,0,0
936,121.46,31.306,0,0
937,121.455,31.244,3,0
938,121.471,31.27,3,0
939,121.498,31.272,5,0
940,121.365,31.259,7,0
941,121.382,31.246,5,0
942,121.547,31.29,5,0
943,121.408,31.177,0,0
944,121.384,31.241,7,0
945,121.531,31.318,4,0
946,121.423,31.273,5,0
947,121.396,31.294,5,0
948,121.444,31.24,4,0
949,121.36,31.092,5,0
950,121.464,31.207,6,0
951,121.492,31.303,5,0
952,121.434,31.174,5,0
953,121.443,31.232,4,0
954,121.412,31.23,3,0
955,121.533,31.331,7,0
956,121.353,31.164,5,0
957,121.494,31.216,3,0
958,121.456,31.313,5,0
959,121.484,31.264,5,0
960,121.501,31.257,7,0
961,121.465,31.249,3,0
962,121.383,31.232,4,0
963,121.434,31.174,1,0
964,121.382,31.161,0,0
965,121.539,31.279,4,0
966,121.44,31.209,2,0
967,121.514,31.303,7,0
968,121.437,31.236,5,0
969,121.381,31.137,1,0
970,121.491,31.265,1,0
971,121.531,31.323,7,0
972,121.501,31.286,5,0
973,121.396,31.274,0,0
974,121.437,31.196,0,0
975,121.557,31.273,2,0
976,121.45,31.219,5,0
977,121.442,31.282,3,0
978,121.515,31.303,0,0
979,121.511,31.306,5,0
980,121.352,31.256,5,0
981,121.356,31.123,0,0
982,121.489,31.244,3,0
983,121.527,31.219,0,0
984,121.407,31.197,0,0
985,121.384,31.166,1,0
986,121.49,31.245,0,0
987,121.439,31.245,7,0
988,121.411,31.164,3,0
989,121.444,31.208,2,0
990,121.522,31.342,2,0
991,121.498,31.281,4,0
992,121.444,31.247,4,0
993,121.532,31.284,7,0
994,121.402,31.264,0,0
995,121.373,31.272,7,0
996,121.529,31.263,4,0
997,121.542,31.275,5,0
998,121.451,31.18,5,0
999,121.378,31.26,0,0
1000,121.49,31.249,3,0
1001,121.504,31.286,5,0
1002,121.403,31.164,7,0
1003,121.339,31.149,5,0
1004,121.515,31.077,7,0
1005,121.469,31.219,7,0
1006,121.504,31.207,5,0
1007,121.385,31.164,4,0
1008,121.382,31.27,7,0
1009,121.393,31.231,0,0
