UID,ST
7389,2016/8/1 17:06
6256,2016/8/1 17:06
5020,2016/8/1 17:06
5962,2016/8/1 17:07
6419,2016/8/1 17:07
1232,2016/8/1 17:07
4689,2016/8/1 17:09
7734,2016/8/1 17:09
6907,2016/8/1 17:10
6884,2016/8/1 17:11
3660,2016/8/1 17:11
5507,2016/8/1 17:12
3595,2016/8/1 17:12
7167,2016/8/1 17:12
7470,2016/8/1 17:12
5480,2016/8/1 17:12
5390,2016/8/1 17:13
5923,2016/8/1 17:13
1234,2016/8/1 17:13
4868,2016/8/1 17:14
5266,2016/8/1 17:14
5195,2016/8/1 17:14
7275,2016/8/1 17:14
1102,2016/8/1 17:16
7098,2016/8/1 17:16
1662,2016/8/1 17:17
3829,2016/8/1 17:17
6543,2016/8/1 17:17
1176,2016/8/1 17:18
3817,2016/8/1 17:18
775,2016/8/1 17:18
5354,2016/8/1 17:18
5308,2016/8/1 17:18
7172,2016/8/1 17:19
6166,2016/8/1 17:20
3912,2016/8/1 17:20
4264,2016/8/1 17:20
3960,2016/8/1 17:21
7534,2016/8/1 17:22
2864,2016/8/1 17:23
5376,2016/8/1 17:23
2072,2016/8/1 17:25
1006,2016/8/1 17:25
637,2016/8/1 17:25
5498,2016/8/1 17:25
6650,2016/8/1 17:25
2882,2016/8/1 17:26
5722,2016/8/1 17:26
7026,2016/8/1 17:26
6510,2016/8/1 17:26
3456,2016/8/1 17:27
4923,2016/8/1 17:28
3855,2016/8/1 17:28
3870,2016/8/1 17:28
4604,2016/8/1 17:28
7819,2016/8/1 17:28
4437,2016/8/1 17:28
5962,2016/8/1 17:29
804,2016/8/1 17:29
901,2016/8/1 17:29
1188,2016/8/1 17:29
7335,2016/8/1 17:29
5895,2016/8/1 17:30
4878,2016/8/1 17:30
7006,2016/8/1 17:31
3500,2016/8/1 17:31
778,2016/8/1 17:31
7072,2016/8/1 17:32
1865,2016/8/1 17:32
3727,2016/8/1 17:32
1030,2016/8/1 17:32
6161,2016/8/1 17:33
2444,2016/8/1 17:33
1620,2016/8/1 17:33
2090,2016/8/1 17:33
1723,2016/8/1 17:33
3264,2016/8/1 17:33
4364,2016/8/1 17:34
1721,2016/8/1 17:34
6972,2016/8/1 17:34
5506,2016/8/1 17:36
7279,2016/8/1 17:36
6092,2016/8/1 17:36
7535,2016/8/1 17:36
1863,2016/8/1 17:36
5309,2016/8/1 17:37
5781,2016/8/1 17:37
7017,2016/8/1 17:37
6333,2016/8/1 17:38
3684,2016/8/1 17:38
7109,2016/8/1 17:38
6045,2016/8/1 17:38
6052,2016/8/1 17:38
3252,2016/8/1 17:39
5606,2016/8/1 17:39
6539,2016/8/1 17:39
5593,2016/8/1 17:39
5172,2016/8/1 17:40
4211,2016/8/1 17:40
1703,2016/8/1 17:40
8035,2016/8/1 17:40
8080,2016/8/1 17:40
5982,2016/8/1 17:41
7805,2016/8/1 17:41
3312,2016/8/1 17:41
6311,2016/8/1 17:41
2928,2016/8/1 17:41
624,2016/8/1 17:41
6530,2016/8/1 17:42
3428,2016/8/1 17:42
8003,2016/8/1 17:42
1542,2016/8/1 17:43
5349,2016/8/1 17:43
